,Input,Counter Tweet,Bleu Score,Cosine Similarity,Predicted Party,Actual Party
0,the trump administration supports a lawsuit that would strip protections from millions of americans with preexisting conditions,the status quo is unacceptable the pain caused by obamacare is real for millions of americans we must repeal and replace this failed law,0.1602072099,0.6855387688,0,0
1,today is the 46th anniversary of roe wade we have a long way to go before the promise of roev wade is a reality for all minnesotans we are proud to fight for that promise alongside reproductive rights activists in our state,thank you to everyone who attended the march for life last friday our work to protect the unborn is never finished i will always defend life which is why i am proud to be leading the fight to defund pp the nation top abortion provider why we march,0.2642490274,0.7043261528,0,0
2,fact workers wages have not kept up with productivity,fact workers wages have not kept up with productivity,1,1.000000119,1,0
3,the fbi has prosecuted americans for compromising information far less classified than what clinton and her staff revealed,dir comey mishandling of email investigation had profound consequences for fbi and country must never be repeated,0.6111127561,0.8464992046,1,1
4,iran aggression inside israeli territory merited a forceful response these actions demonstrated iran dangerous behavior and capability have eanded significantly this is evidence that we must maintain a robust presence in the region to counter and roll back iranian aggression,while joining forces with our allies to better contain iran conventional capabilities and nefarious conduct in the region and beyond,0.07824804607,0.8273530006,1,1
5,socialism is a rigid ideology that always ends in tyranny,medicare is socialism,0.08762406446,0.711481452,1,1
6,too many of us myself included are still paying off our student loans here my plan to get rid of student loan debt if you work for college college should work for you do you agree join our movement to cancel debt,good news icymi this is the essence of betsy de vos ed visit to butler tech on friday college is a great option for many but there is also great dignity in work that does not require college for too long the popular message has inflated 4-year degrees at the expense of others,0.6590692246,0.5013917685,0,0
7,economic confidence numbers are double under cc this is why companies now investing in their workforce/workplace claim it is because of the tax cut not bc of the president who preceded the president that gave us the tax cut,the math simply does not add up the house gop tax plan borrows from the future to give the rich a tax cut,0.1768548471,0.8111570477,1,1
8,rep ilhan omar has been at the center of a lot of controversy but these minneapolis constituents have her back,the honorable and amazing mike pence on mayor pete in i hold mayor buttigieg in the highest personal regard i see him as a dedicated public servant and a patriot why is mayor pete fabricating a controversy where there is not one,0.516973154,0.6510907412,0,0
9,i do not want this testimony to just occur behind closed doors congressman biggs and i are fighting for are subpoenas so before the judiciary committee and all the american people we can get answers to these questions and ee the bias we know exist,we continue to find more evidence that judge kavanaugh misled me and the judiciary committee under oath i am posting important documents that senate republicans did not want the american people to see we deserve transparency about this nominee,0.1960856432,0.8199659586,1,1
10,rod rosenstein threatened congressional staff when the bully picks on your little brother you have to respond it is time for house leadership to stand up,to the party of ronald reagan now is the time to stand up to president trump assault on our country free press not the enemy,0.1772917165,0.6375949383,1,1
11,longterm dependence on public programs of any kind is not a part of the american dream that i am familiar with and i do not think anybody out there believes that as well so this idea is to get folks back out there on their own two feet 2018farm bill,our economy is not working for working people the cost of living is going up but paychecks are not keeping up people are drowning in debt for the first time we have a whole generation of americans living with the sinking belief that they may not do as well as their parents,0.3205502559,0.7030619383,1,1
12,thanks to historic taxreform and regulatory relief america is better off now because we have an economy built for growth,thanks to all who 've supported our bill so far a better deal means creating millionsof jobs for americans and rebuilding aging infrastructure,0.3152861344,0.7666034698,1,1
13,preserving the independent funding is critical including to the vets and servicemembers it protects,great house vet affairs roundtable on the need to modernize gi bill so vets have access to high-quality modern-day learning opportunities,0.614788153,0.7222337127,0,0
14,this is not a drill within the hour will vote to start the process of destroying health care with no specific plan yet,it is time to do away with the continued failures of obamacare it is time to vote,0.5415582509,0.7860319018,0,0
15,we need a special prosecutor totally independent of the ag we need a real bipartisan transparent congressional investigation into russia,mattgaetz on dem memo i think we need a second special counsel because the justice dept and the fbi can not possibly investigate themselves and it is their very actions which we are now questioning,0.1322148042,0.8168353438,0,0
16,together we can do whatever we set our minds to we can make our economy fairer make sure women are heard and valued and hold this administration accountable for its discriminatory policies most importantly we can get the influence of dark money out of politics for good,many past administrations and members of congress have fought for criminal justice reform but it took real donald trump administration to get it across the finish line the first step act will make our justice system fairer and our communities safer,0.2526556761,0.6655173898,0,0
17,ivanka trump is one of the most intelligent accomplished caring and incredible people i have ever had a chance to meet our country is in a better place thanks to her and leadership,gillibrand is focused on this year not more than this gillibrand is one of the great leaders of our party and her own independent actor her moral compass and passion for justice are authentic and this kind of leadership is needed for new york and our nation,0.06118677914,0.6837208271,1,1
18,this rash decision isolates america not iran,america european allies have a clear choice stand with the united states and the free world or continue to appease the iranian regime the world biggest state sponsor of terror european investment in iran is dangerous and wrong,0.4789736254,0.745334506,0,0
19,dr ford has been amazing she is an inspiration and source of strength to every survivor,rip to the courageous lauren hill thank you for being an inspiration,0.2782095306,0.7230684757,0,0
20,here comes starting off the senate vote to get the us out of the saudiemirati coalition devastating yemen,house republicans have been working to get our military the resources it needs to keep the peace for months learn more about how today vote on the bipartisan budget agreement achieves that goal soon,0.2704204919,0.7756146789,0,0
21,china use of genetic sequencers in xinjiang drew criticism and now the products us maker is responding,our budget should reflect our values but as countless people in congo face a deadly ebola outbreak republicans in congress continue to push for a cruel rescissions package that eliminates funding for responding to life-threatening outbreaks,0.4854917717,0.4041833282,1,1
22,this is the last taay americans will be forced to comply with an outdated and overly burdensome tax code see how the new tax cuts and jobs act which was signed into law late last year is already providing relief to iowans and folks across the country,you literally just signed an executive order that will result in premiums skyrocketing across the country,0.03521801982,0.6997665167,1,1
23,in response to questioning judge kavanaugh refuses to say it is constitutional for a president to even be investigated whats at stake,if you are going to say the president should be impeached you should be prepared to take questions from reporters,0.306455312,0.7541763186,0,0
24,the ultimate measure of a man is not where he stands in moments of comfort and convenience but where he stands at times of challenge and controversy today we honor rev dr martin luther king jr by turning his words into action mlk day,today we remember the voice the life and the legacy of dr. martin luther king jr. a man who showed us by his example that the time is always right to do the right thing mlk ihaveadream mlk day2018,0.1572554643,0.8510442972,0,0
25,joined by superstorm sandy survivors and in union beach new jersey i am grateful for the governor commitment to reallocate million in federal funds to help families still displaced from the storm get back into their homes,to the first responders in florida thank you and to all floridians we are with you as you rebuild your homes and your lives,0.4113790376,0.7689480782,0,0
26,fire recovery resources for residents and businesses impacted by the creek fire skirball fire and rye fire will be available at a local assistance center this week where lake view terrace rec center when tuesday dec friday dec 128pm saturday dec 8am 4pm,reminder sandbags available for residents in dorchester county at 10am,0.0169348978,0.7215473056,0,0
27,just in us gdp growth hits in q2 the fastest since,as paulkrugman writes gdp numbers have been good in recent quarters but much of the growth has gone to soaring corporate profits while median real wages have gone nowhere our new bill will help present a clear and accurate picture of who the economy is really working for,0.5372849659,0.7167512178,1,1
28,icymi chairman opening statement at today irs targeting scandal hearing,today the gop financial cmte has a hearing about restructuring the cfpb another way of saying they want to weaken it,0.5555238068,0.641148448,1,1
29,has demonstrated no prior commitment to ensuring equal educational opportunity in schools dump de vos de vos facts,taiwan has demonstrated to the world that freedom is a stabilizing force that free enterprise free association and free speech lead to entrepreneurship prosperity and security ed feulner,0.2509862124,0.3648433685,0,0
30,warns do not even think about firing robert mueller video,sen schumer warns real donald trump do not even think about firing robert mueller video,0.5659119257,0.7061060071,1,0
31,years we started we never could have dreamed it would grow to the size it is today thank you to the amazing people who made this journey possible to the chapter leaders students staff and supporters we are made stronger by your endless commitment onward,"years ago i started turning point usa a movement now on over 1,300 campuses across the country over people on staff over 35,000 active donors and over 6,000 students attending our events each year thank you to everyone who made this possible i will never forget you",0.187403743,0.6546473503,0,1
32,free trade we should work with our closest allies and best trading partners to apply pressure on bad actors uniform tariffs do the opposite uniting others who will retaliate against america instead targeted actions could work for america that would be smart trade,in case you missed it rep jayapal and i will introduce a bill to protect the more than 2m domestic or in-home workers in america the work they do is the work our economy is built on and they deserve the same workplace protections as others,0.6992922471,0.5276957154,1,1
33,president and participate in a press conference in hanoi vietnam on february,big news sen sanders and i will be holding a press conference at hvc studio immediately after today vote on our yemen war powers resolution tune in live to the senator livestream and let us get this to the finish line,0.1170356571,0.6425430775,1,1
34,most of my conservative colleagues and i in the house campaigned on changing the status quo no one that i am aware of campaigned on an amnesty plan gun control plan or lifeline for obamacare which are all rumored to be in this appropriations bill cwc115,house gop combined the fix nics bill w/ the nra top priority concealed carry reciprocity creating a bill which would be even worse than the status quo i strongly urge senate gop to avoid making the same mistake and instead work w/ dems to pass real gunsafety solutions 5/5,0.118774135,0.8039842844,1,1
35,the republicanled government has had a productive year so far we can not lose our momentum,to the voters who made themselves heard last night our victories across the country belong to you and we are just getting started next year let us build on this momentum to take back the house and senate,0.6022774486,0.7395859957,1,1
36,congress has a moral duty to pass the dream act asap dreamers make america more american mtp,prominent legal scholars agree that our actions to address the national emergency at the southern border and to protect the american people are both constitutional and expressly authorized by congress,0.6042750795,0.747084856,0,0
37,on illegal immigrant appointed to state government in california i do not know what is going on in california these days everyday there has a new story about this where they are just defying federal law,california will fight the texas judge affordable care act ruling but know this despite the court decision open enrollment is still going on in california you have until january to enroll at,0.07848811491,0.6470178962,1,1
38,homeland security committee hearing on hurricane harvey response and lessons learned glad we are talking about it but houstonians want action,we are about to get an update from uscg fema on hurricane harvey response,0.133271853,0.7677493095,0,1
39,medical professionals say the measure perverts the doctorpatient relationship by forcing physicians to peddle junk science and reinforces the disproven stereotype that a large number of women who access abortion care later regret having done so,fact abortion is not healthcare much less an essential part of women health care and abortions in the third trimester are not done to save a woman life via public discourse,0.266926931,0.7688210607,0,0
40,amen i am proud of too and grateful for her what she did today is historic and something that should make us all respect and recognize and yes i also share that prayer,amen i am proud of kamala harris too and grateful for her what she did today is historic and something that should make us all respect and recognize and yes i also share that prayer,0.8935248372,0.9527891874,1,0
41,the reaction to speech proves the very point she was making,the reaction to ilhan mn speech proves the very point she was making,0.6703420896,0.9124388695,1,0
42,i want to thank and his administration for working with congress to improve healthcare for our nation veterans,i want to thank the millions of people around this country who stood up and fought back against the pathetic republican health care bill,0.1041441909,0.7713254094,1,1
43,if you are a prolife singleissue voter then i respect your standpoint but then please leave snoopy out of this,we asked for respect for women we were met with contempt late last night iowa passed an unconstitutional 6-week abortion ban a gop plot to challenge roe wade i fought back and need your support to take this voice to congress,0.5909442849,0.6266357899,1,0
44,apparently a vote on a bill this bad must occur under cover of darkness dont bankrupt america,the senate may vote on their tax bill today important to understand that the gop messaging around this bill is completely dishonest it destroys our healthcare system while catering to the richest in our nation call your senators today tell them to vote no 202-224-3121,0.2120062676,0.7338708639,1,1
45,he demeans and humiliates women as if we are objectsrather than human beings worthy of love and respect on trump,trump should speak to america women based on the issues about which they care prosperity and security kelly file,0.6426418339,0.7640213966,0,0
46,if hillary tried to factcheck donald in real time she would not have time for anything else so here debate,it is evident democrats are unwilling to compromise they are uninterested in negotiating speaker pelosi even jokingly admitted she would only give to fund a border wall our border security is not a joke it is time to stop putting politics over people secure our border,0.2320305803,0.5072804689,0,0
47,it is a good thing we have republican control of congress or the democrats might bust the budget caps fund planned parenthood and obamacare and sneak gun control without due process into an omniwait what,republicans in congress have spent years trying to repeal the affordable care act and senate maj ldr mc connell is still at it the american people have come together time and time again to protect the aca and we are not about to give up,0.668740305,0.817496419,1,1
48,media bias alert on friday when the mueller report was completed isis last stronghold in syria was also eliminated since then msnbc has not covered isis defeat for a single minute refusing to acknowledge this huge win for and the world,the paris attacks were an isis attack likely directed and equipped out of syria my interview on this week abc,0.2589829108,0.7538238764,1,1
49,by obama second term the middle east was still a disaster isis was growing north korea was pointing missiles at the united states now under north korea is peaceful isis is defeated the troops are coming home maga,american troops have been killed in the line of duty from an attack claimed by isis praying for the troops lost and their families i have pressed the president to reverse his decision to withdraw stabilization funds from syria isis is clearly not defeated,0.3123114044,0.7643848062,1,1
50,with wide bipartisan support the house has agreed the american people deserve to know the truth about what if anything special counsel mueller has uncovered and now we should finally see this investigation come to a close,with wide bipartisan support the house has agreed the american people deserve to know the truth about what if anything special counsel mueller has uncovered and now we should finally see this investigation come to a close,1,1.000000119,0,1
51,we join the thousands from all over the midwest right now in federal plaza for the march4life chi human life is unique from day one and we are celebrating it today whywemarch prolife,this weekend we helped celebrate the 171st liberian independence the liberian community is vibrant and a vital part of minnesota it was an honor to join them,0.5713782231,0.6792052388,1,1
52,lgbtq+ communities are disproportionately impacted by the issues facing our country access to healthcare housing gun violence and workplace discrimination i am proud to be endorsed by and am grateful for their work to continually push our party to do better,today we celebrate hardworking people across the united states i am proud to join my house gop colleagues in our work to create pro-growth policies that provide more opportunities for all americans happy labor day,0.07329594045,0.6724261045,0,0
53,recaps did a lot that he will never get credit for,trump deserves a lot of credit but again you have the anti-trump people who are not going to give him a lot of credit,0.2715160733,0.3799835443,0,1
54,millions of people suffer from depression and mental illness but tina is right too many americans suffer in silence they should know it is okay to ask for help her compelling speech is an important step in our effort to end the stigma behind mental health issues,each year millions suffer in silence for fear that getting help will result in their being blamed thank you for your voice katieporteroc everyone has a right to live free from abuse it is past time the violence against women act is reauthorized,0.1406168728,0.5929788351,1,0
55,republicans have focused on policies that will improve people lives but it is becoming evident washington democrats do not see things this way they have called for raising taxes on hardworking americans abolishing a full government takeover of health care,if raising taxes on the middle-class was not bad enough senate gop is now plotting to undermine the aca and americans access to health care,0.1120743812,0.9003103971,1,1
56,you are meant to be where you are keep changing the equation and speaking out you are making a difference in so many people lives,i find a lot of fulfillment and purpose in what i am doing and really believe that i am making a difference for my kids and the next generation womens history month,0.1417056217,0.5077940226,0,0
57,our great patriot farmers will be one of the biggest beneficiaries of what is happening now hopefully china will do us the honor of continuing to buy our great farm product the best but if not your country will be making up the difference based on a very high china buy,what we do today is even more consequential because of what is happening in our country people lives freedom security they all hang in the balance the country is watching us the world is waiting on us the future depends on it have no doubt we will seize this moment,0.06576462092,0.5293688178,1,1
58,breaking more than congressional representatives call for investigation into sexual abuse at don hutto immigrant detention center the letter led by and raises concern for laura monterrosa ella habla me too,tune in now press conference calling for investigation on the fbi special treatment of hillary clinton,0.1309412331,0.7341980338,0,0
59,thanks to progrowth policies and the tax cuts and jobs act the economy is in a pretty sweet spot,no president trump the economy is not absolutely booming when nearly percent of workers live paycheck to paycheck instead of an agenda for the wealthy few we need to create an economy that works for all of us,0.1185572302,0.801264286,1,1
60,you deserve a real infrastructure plan that truly creates jobs and rebuilds america not this sad joke from that goes cheap and privatizes our assets thread,the tax cuts and jobs act is going to give our economy the jolt it needs and hardworking americans the opportunity they deserve,0.5993264375,0.7117244601,0,0
61,nonpartisan study concludes that romney tax breaks for the wealthy will inevitably hurt the middle class,speaker paul ryan touts the new gop tax reform plan saying it will deliver real relief to the middle class,0.2046592066,0.8499692678,0,0
62,we have a major problem with educational inequality and we need to tackle it head on in a biden administration we will triple title i funding creating a historic investment in schools serving a high proportion of children from lowincome families,care for children in need should always go beyond party lines both parties need to come together to extend chip funding now,0.1359907911,0.7147161961,0,0
63,housing costs are a real obstacle to families in ma and across the country and we can not fix it by nibbling at the edges that is why i have got an affordable housing bill to build 3m new housing units reduce rents by and create 15m jobs we can do this,we want to fix this the mortgage choice act will increase financing choices for families and first-time homebuyers so they have convenient and affordable options to purchase a home where they can raise their kids and live their version of the american dream,0.6233857289,0.7496672869,0,0
64,this is the real cost of the shutdown a breast cancer survivor having to decide between buying medications or buying food a family selling their truck to pay for the house and keep the heat on this shutdown is hurting americans,the house just voted to fund the government senate democrats need to take a serious look into the mirror and decide if they really want to shut down the government and deny health care to nearly million children in order to provide amnesty for people here illegally,0.2670756222,0.645031333,0,0
65,eager to be there with you al05 flip the5th,this afternoon i met with president-elect real donald trump we are eager to get to work on behalf of this great country,0.2838702105,0.2825145125,0,0
66,the fighting homelessness through services and housing act is supported by more than individuals and organizations thankful to also have the support original cosponsors,they are our neighbors our brothers and sisters and our mothers and fathers these are the ones hurting from the opioid crisis it is our duty to come alongside these individuals and see them through to recovery so they too can experience the american dream,0.2521193618,0.678394556,0,0
67,historian corrects the record and media distortions about the electoral college no it had nothing to do with slavery via,it is well past time we eliminate the electoral college a shadow of slavery power on america today that undermines our nation as a democratic republic,0.1591178311,0.7557929754,1,1
68,trump budget cuts billion from medicare slashes billion from social security cuts billion from student loan programs all while directing billions to build his wall make no mistake this budget will hurt the poor elderly and americans with disabilities,americans are better off now thanks to house gop commitment to our military the budget for a brighter american future strengthens this commitment by investing in a strong national defense learn more,0.5051880728,0.6768516898,0,0
69,here how she has already done damage to our reproductive health and rights at tracking trump,thank you real donald trump for standing for the rights of newborn abortion survivors resist infanticide,0.5946035575,0.6794076562,0,0
70,icymi a blackfoot company says it will use the gop tax cuts to invest in technology and new employees in eastern idaho taxreform,democrats to unveil trillion infrastructure plan seek reversal of gop tax cuts to finance it,0.1020517877,0.8261394501,1,1
71,can not wait to see more pictures just like this in the coming year young progressive leaders setting up their new offices welcoming constituents,happy to welcome my former intern rachel her family and sosouthcarolina to my office for capitol hill day truly an inspiring bunch can not wait to see you all again,0.1162211182,0.5593481064,0,0
72,i heard gunshots iraq war veteran oscar stewart said and everybody got up and started trying to get out the back door so i for whatever reason i did not do that i ran the other way i ran towards the gun shots a hero,lucy mc bath is a hero after losing her son to gun violence she ran for congress against her nra incumbent she was previously a flight attendant lucy was outspent 5-1 but she kept running with her conviction she won flipped ga-06 in a major upset no one saw her coming,0.2202433314,0.4456510544,1,1
73,grateful to kick off my first iowa trip as a presidential candidate surrounded by generations of family at my aunt alma home all that i am is because of the work sacrifice and love of my ancestors as i said last night i am going to run a campaign my family can be proud of,i am proud to be from a state that leads the country in energy production and grateful for the opportunity to have been invited by my friend and our majority whip steve scalise to visit louisiana to see first-hand the opportunities involving offshore energy,0.2242239168,0.7208428383,0,0
74,today the committee received about new pages of documents from state dept including patrick kennedy emails still waiting on others,today i led a group of lawmakers in a letter to chairman nunes of the house intelligence committee urging the release of the fisa memo to the public the american people deserve to know the information it contains release the memo,0.5588805989,0.7513724566,0,1
75,chinese telecom giant huawei hires former obama cyber security official as a lobbyist this is not good or acceptable,secretary mattis said it is good for our national security to stay in the irandeal chairman dunford said iran was complying with the terms,0.5946035575,0.6539987922,1,1
76,mccabe absolutely got what he deserved he authorized leaks to the media he was depriving the washington dc field office of jurisdiction when it came to investigating hillary and the clinton foundation and he was working w/doj to pave the way so hillary never faced consequences,trump and whitaker should take note we will protect the special counsel investigation and the independence of doj should whitaker fail to recuse himself and seek to obstruct the investigation or interfere in any way he will be called to answer his actions will be exposed,0.269994915,0.7468791008,1,1
77,the economy is firing on all cylinders and it is thanks to progrowth policies like taxreform,as paulkrugman writes gdp numbers have been good in recent quarters but much of the growth has gone to soaring corporate profits while median real wages have gone nowhere our new bill will help present a clear and accurate picture of who the economy is really working for,0.09907766623,0.7015273571,1,1
78,references his letter to fossil fuel companies how widespread is climatechange denial exn knew,i sent a letter to potus signed by of my colleagues urging he minimize harmful impacts of obama admin epa regs,0.2626909894,0.662974596,0,0
79,economy continues to rank as top us problem,it is not just a coincidence that of all new income is going to the top that is the result of an economy that is rigged in favor of the wealthy,0.5577503997,0.6205108762,1,1
80,the fruit of the spirit is love joy peace patience kindness generosity faithfulness gentleness selfcontrol galatians pentecost sunday,this nowruz in the spirit of hope and new beginnings let us renew our faith in one another and commit ourselves to the ongoing fight for peace and justice in our communities and around the world eid-eh shoma mobarak,0.2410074403,0.5349269509,1,1
81,sad house dems gavel down a black woman trying to silence her from defending herself after they call her despicable brings back particularly ugly chapters in the history of the democratic party,the latest instance of this president disrespecting black women and accomplished black candidates is an attempt to silence these systemically marginalized communities this is deeply troubling for our democracy,0.2525960055,0.7620506287,1,1
82,in separate locations creating another jobs i have been working nicely with gm to get this done thank you to mary your great governor and senator rob portman with all the car companies coming back and much more the usa is booming,and it is not being rushed thru to help workers in fact senate gop refused to accept a sen sherrod brown a better deal amendment to help companies keep and grow jobs in the usa so much for america first,0.2756463827,0.596879065,1,1
83,those who stand in the way of tax reform in the house and senate are standing in the way of americans getting a pay raise,republicans in the house and the senate are cutting backroom deals in a rush to pass their massive corporate tax cuts into law which could amount to a complete disaster for middle class families we must keep fighting back against this bill,0.07387254485,0.8333021402,1,1
84,another example of how donald trump government shutdown is hurtiing people in our country,president trump is a disruptive force in washington for the republicans and democrats who work to keep everything the same in this country but the forgotten men and women of america wanted to see things done differently that is why they elected real donald trump,0.2346235032,0.8084979057,0,0
85,chairman takes a moment to honor the heroes of united airlines flight whose sacrifice on seventeen years ago may have saved the us capitol from destruction never forget11,chairman rep mc caul takes a moment to honor the heroes of united airlines flight whose sacrifice on seventeen years ago may have saved the u.s. capitol from destruction never forget911,0.7497367089,0.962014854,0,1
86,"breaking the senate just passed the california desert protection and recreation act our bill to update and eand protections for 716,000 acres of the california desert",breaking news the senate has passed the water resources development act by a vote of to the bill now goes to the president for his signature this marks the 3rd wrda bill passed by congress under rep bill shuster chairmanship wrda works,0.3361997479,0.7189381123,0,0
87,fantastic thanks to march for life speaker the people of lousiana may get their say on abortion whywemarch prolife,can not say we are surprised but we should all be outraged overseeing this change are people who worked for groups that oppose abortion rights they also apparently oppose birth control,0.599341809,0.741784811,1,1
88,join us live on and fox news facebook live,i will be live on facebook at 3pm to discuss the success of historic initiatives prop and make sure to tune in,0.3050383927,0.5874158144,1,1
89,louisiana coast is home to some of the busiest ports in the nation learn why investment in port and waterway infrastructure is so vital to our nation and the world economy wrda works,the port of boston has been vital to our economy since the colonial era but we need to keep investing in infrastructure for it to succeed,0.14804682,0.8422363997,1,1
90,press conference unveiling my medical cannabis research act today alongside reps darren soto fl0 carlos curbelo fl26 lou correa ca46 ryan costello pa06 steve cohen tn0 and barbara lee ca13,today we are celebrating the naming of the ud biden school over guests are taking part in a series of luncheons highlighting the research and breadth of experience at the ud biden school,0.5491004868,0.4634993076,1,1
91,joshua tree california fragile desert was left open during the shutdown despite reduced staffing the result vandalism campfires illegal offroading protected trees cut down for fire wood this damage could last for hundreds of years,more great news on earth day air pollutants have been declining for more than years,0.1592851816,0.5525151491,0,0
92,this aggression will not stand man,one of the time-tested counters to acts of aggression is american military strength and readiness,0.5081327482,0.3797868788,0,1
93,with a credible allegation against someone seeking a lifetime appointment like kavanaugh we should not just rush this through to meet an arbitrary gop deadline without taking a closer look whatsthe rush postpone the vote,dems spent months saying weneednine now they should follow through and give this superbly qualified scotus nom an up-or-down vote,0.3340135926,0.8065373898,0,0
94,breaking new report shows how californians could be impacted by the trump administration unwillingness to defend people with preexisting conditions spoiler ale it is terrible news for a lot of californians more on the report here,president real donald trump is traveling to california to meet with those impacted by the devastating wildfires learn how the trump administration is supporting the state of california during this emergency,0.20340093,0.7108048201,0,0
95,the campaign we are building will have one core mission restoring power to people i will not accept contributions from corporate pacs or federal lobbyists and i am not afraid to take on trump special interests or any powerful system never have been,do not waver in your support of real donald trump he is fighting alone daily to protect our country and to fulfill the promises from the campaign i am so sick of people from our side finding every excuse to attack the greatest president of our lifetime we must have his back,0.3146660997,0.6915234327,0,0
96,watch the attached video in rt of at the second mark you see the armed pro maduroregime gang know as colectivos arrive on motorbikes and then start firing on protestors in caracas venezuela,bad enough that turkish security forces attack protesters back home outrageous to see them do so here and while erdo an watches,0.3330462805,0.7127153277,1,1
97,"man making death threat to rep ilhan omar had over 1,000 bullets and illegal guns","in chicago despite having the strictest gun laws in the country a person is shot every hours and murdered every hours over 1,785 have been shot this year were shot and killed in criminals love gun control because it ensures only criminals control the guns",0.5081327482,0.6485122442,0,0
98,starting soon watch live at the link,the malibu evacuee update meeting livestream will begin at pm on our you tube channel you can also sign up for an e-newsletter summarizing the meeting events all information to the sign up and a link to the live stream on,0.5588805989,0.6486386061,1,1
99,two words blue wave,theonly pod redrocket1962 it was not a wave it was the smallest margin of victory for some time was a wave,0.4671379777,0.4587230384,0,0
100,i support the suit brought by california and other states against president trump socalled border emergency which is not really an emergency at all as president trump said in his rose garden speech on friday i did not need to do this but i would rather do it much faster,i did not need to do this but i would rather to do it much faster president real donald trump mr. president how can this possibly be an national emergency if you are saying you do not need to do it unreal fake trump emergency,0.2699143157,0.7466742396,1,0
101,sen cory booker tabling the tax vote until alabama sen doug jones is sworn in is the right thing to do,seven new gop senators have been sworn in welcome and follow senator braun marsha blackburn sen kevin cramer sen mc sally az senator romney sen rick scott and sen hawley press,0.2560909674,0.7512241006,0,0
102,there are too many tragic stories too many lives destroyed by opioids is fighting the opioidcrisis head on we have got our fight plan detailed at,about to speak about the devastating impact that trumpcare will have on fighting the opioid crisis in ma watch,0.2275124887,0.6560801268,1,1
103,great to see this photo today of taking time to talk with students from in washington dc rep swalwell got to meet with students from our local colleges during his labor day visit to huntsville al05 hbcu,congratulations to john yu a student at northshore hs in slidell for winning this year congressional art competition for the 1st congressional district of louisiana his artwork will be displayed in the capitol this year it was great to meet him and congratulate him in person,0.2965086785,0.7531479597,0,0
104,i am incredibly saddened to hear about the passing of president george hw bush president bush dedicated his entire life to public service including so many different roles in elected and appointed positions,president george h.w bush leaves behind an extraordinary legacy of service and lifelong dedication to our country that he loved i am saddened to hear of his passing my thoughts are with his loved ones,0.1943263894,0.7951009274,1,1
105,days that is all that separates us from election day we need you all in over the next days so we can keep texas red free and prosperous sign up to volunteer here ten cruz crew keep texas red,for folks who live in iowa senate district this tuesday is election day i am pumped to be helping get out the vote for eric giddens4ia today you can help too sign up to volunteer,0.0815988979,0.7745036483,1,1
106,breaking trump designates iran revolutionary guard as terrorists earns praise of ted cruz,in a rebuke to trump the senate votes to halt u.s. support for the saudi-led war in yemen,0.4854917717,0.8144103885,1,1
107,so if somebody does not win if they commit a crime it is irrelevant to american national security,giuliani removes all doubt the white house effort to force doj to give investigatory materials to congress is really about the defense team getting their hands on them if the president is charged with a crime he has a right to see the evidence not before,0.2320305803,0.6885032654,1,1
108,we will leave no one to fight alone for their civil rights pride,this country has the greatest fighting force in the world we can not shy away from the threats we face we must confront them and we can not leave our troops unprepared on the battlefield we must equip them,0.4758733096,0.6337946057,0,0
109,i am so grateful to have had brett kavanaugh as a colleague he was always supportive and strong and caring and someone whose integrity and good judgment i value enormously former secretary of state confirm kavanaugh,grateful for the dozens of nj leaders who just endorsed my run for president as longtime colleagues friends mentors and heroes their faith in my leadership is something i do not take lightly i am humbled by their kind words and more motivated than ever,0.2521193618,0.6551913023,1,1
